,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
261,Aaron Brink,25,21,0,1,,3.49,5.71,57.0,0.0,0.0,0.0,53.19149
2685,Aaron Phillips,8,2,0,0,"70""",1.87,3.33,40.0,0.0,0.0,0.5,80.0
1872,Aaron Rosa,17,5,0,0,"78""",4.03,4.41,45.0,0.36,33.0,0.4,77.27273000000001
1107,Aaron Simpson,11,4,0,0,"73""",3.6,2.53,56.0,3.78,34.0,0.5,73.333336
1496,Aaron Wilkinson,7,5,0,0,,0.0,0.0,100.0,7.32,100.0,0.0,58.33333199999999
4069,Abdul Razak Alhassan,10,1,0,0,"73""",4.59,4.2,59.0,0.57,33.0,0.0,90.90909
117,Abdul-Kerim Edilov,17,4,0,0,"78""",10.22,0.13,92.0,3.98,100.0,2.0,80.95238
2105,Abel Trujillo,15,8,0,1,"70""",2.65,2.31,59.0,2.18,45.0,0.4,62.5
4456,Abu Azaitar,14,1,1,1,"76""",3.2,1.27,57.0,1.0,100.0,0.0,82.35294
3640,Adam Milstead,8,2,0,1,"76""",3.9,4.1,48.0,0.0,0.0,0.0,72.72726999999999
4329,Adam Wieczorek,10,2,0,0,"81""",1.68,1.87,48.0,0.41,33.0,0.4,83.333336
129,Adriano Martins,28,9,0,0,"72""",1.8,2.14,65.0,0.83,80.0,0.4,75.675674
3981,Aiemann Zahabi,7,1,0,0,"68""",3.34,3.93,62.0,0.0,0.0,0.0,87.5
3148,Aisling Daly,16,6,0,0,"64""",2.92,1.4,55.0,2.15,41.0,0.9,72.72726999999999
3099,Akbarh Arreola,23,10,1,0,"71""",2.32,4.01,56.0,1.07,100.0,0.4,67.64706
828,Akihiro Gono,32,16,7,0,"68""",2.18,2.67,63.0,1.01,84.0,0.5,58.181819999999995
2051,Akira Corassani,14,7,0,1,"68""",3.25,4.91,50.0,0.7,28.0,0.0,63.636364
2378,Al Iaquinta,13,4,1,0,"70""",4.28,4.04,62.0,0.98,28.0,0.4,72.22222
616,Alan Belcher,17,7,0,0,"73""",2.7,3.1,59.0,0.44,26.0,0.9,70.833336
97,Alan Jouban,16,6,0,0,"73""",5.41,3.48,60.0,0.52,50.0,0.0,72.72726999999999
2625,Alan Omer,18,5,0,0,"71""",3.49,2.21,64.0,1.69,42.0,0.0,78.26087
3568,Alan Patrick,15,2,0,0,"74""",1.88,2.39,45.0,3.92,40.0,0.4,88.23529
4179,Albert Morales,7,4,1,0,"72""",3.81,3.96,56.0,0.91,35.0,0.2,58.33333199999999
2567,Albert Tumenov,17,4,0,0,"73""",3.76,3.34,58.0,0.2,20.0,0.0,80.95238
2818,Alberto Mina,13,1,0,0,"77""",3.23,3.7,47.0,1.85,20.0,0.0,92.85714
3637,Alberto Uda,9,2,0,0,"77""",1.79,3.49,45.0,2.83,50.0,0.0,81.818184
2944,Alejandro Perez,22,6,1,0,"67""",3.71,2.88,65.0,0.46,16.0,0.1,75.86206999999999
115,Aleksandar Rakic,10,1,0,0,"78""",5.0,1.2,55.0,1.5,75.0,0.0,90.90909
4521,Aleksei Kunchenko,19,0,0,0,"70""",2.93,3.73,68.0,1.0,50.0,0.0,100.0
191,Aleksei Oleinik,54,11,1,0,"80""",3.06,3.28,53.0,2.99,39.0,2.7,81.818184
3978,Alessandro Ricci,10,5,0,0,"69""",2.48,2.53,64.0,0.0,0.0,0.0,66.666664
3581,Alessio Di Chirico,12,2,0,0,"74""",3.36,2.94,63.0,2.48,56.0,0.0,85.71429
564,Alessio Sakara,19,11,0,1,"72""",3.96,2.8,59.0,2.18,78.0,0.0,61.290319999999994
1674,Alex Caceres,14,11,0,1,"73""",3.86,2.78,63.0,0.57,75.0,0.8,53.846153
2980,Alex Chambers,5,5,0,0,"63""",2.97,5.1,50.0,2.31,41.0,1.0,50.0
2491,Alex Garcia,15,6,0,0,"72""",1.81,3.03,59.0,3.72,52.0,0.1,71.42857
37,Alex Karalexis,10,6,0,0,"66""",2.39,2.37,57.0,2.64,42.0,1.1,62.5
146,Alex Morono,14,5,0,1,"72""",3.66,2.4,64.0,0.0,0.0,0.6,70.0
3511,Alex Nicholson,7,4,0,0,"81""",4.12,4.65,47.0,0.0,0.0,0.5,63.636364
77,Alex Oliveira,19,4,1,2,"76""",3.01,2.08,46.0,3.45,38.0,0.9,73.07692
4285,Alex Perez,21,4,0,0,"65""",5.25,3.08,61.0,3.68,43.0,2.1,84.0
458,Alex Schoenauer,15,10,0,0,,1.22,2.27,42.0,0.0,0.0,4.9,60.0
263,Alex Stiebling,18,11,1,1,,1.47,1.03,57.0,0.22,100.0,0.9,58.06451800000001
127,Alex White,12,5,0,0,"71""",3.86,2.88,64.0,0.89,45.0,0.2,70.588234
3840,Alexa Grasso,10,2,0,0,"66""",4.5,3.08,67.0,0.31,50.0,0.3,83.333336
1230,Alexander Gustafsson,18,4,0,0,"79""",4.18,3.4,52.0,1.76,40.0,0.5,81.818184
4470,Alexander Hernandez,10,1,0,0,"72""",2.99,1.47,46.0,3.82,40.0,0.0,90.90909
4448,Alexander Volkanovski,18,1,0,0,"71""",6.09,2.55,63.0,3.87,41.0,0.7,94.73684
4546,Alexander Volkov,30,7,0,0,"80""",5.31,2.39,56.0,0.86,75.0,0.3,81.08108
32,Alexander Yakovlev,23,8,1,0,"74""",1.89,2.73,56.0,1.23,30.0,0.0,71.875
353,Alexandre Dantas,0,2,0,0,,0.21,1.87,60.0,0.0,0.0,3.1,0.0
1475,Alexandre Ferreira,18,6,0,0,,2.57,8.14,42.0,0.0,0.0,0.0,75.0
7,Alexandre Pantoja,20,3,0,0,"67""",4.31,3.38,59.0,0.75,50.0,1.8,86.95652
2301,Alexis Davis,19,8,0,0,"68""",4.18,4.16,55.0,0.8,38.0,1.0,70.37037
2385,Ali Bagautinov,14,5,0,0,"65""",2.85,3.09,52.0,2.51,36.0,0.3,73.68421
2163,Alistair Overeem,43,17,0,1,"80""",3.53,1.93,61.0,1.39,62.0,1.0,70.49180600000001
